kanji,meaning,reading,example
線,うすい ひも,せん,白い 線（せん）を ひく。
前,さき,まえ,前（まえ）に ならんで まつ。
組,くむ こと,くみ,机を 組（くみ）たてる。
走,はしる こと,はし,公園で 走（はし）る。
多,たくさん,た,多（た）くさん りんごを もらう。
太,ふとい こと,ふと,太（ふと）い ふとんで ねむる。
体,からだ,からだ,体（からだ）を うごかして あそぶ。
台,ものを おく ところ,だい,花（はな）を いける 台（だい）に ならべる。
地,じめん,じめん,地（じめん）を じぶんの 足（あし）で ふむ。
池,いけ,いけ,池（いけ）で かえるを みつける。
知,しる こと,し,知（し）らない ことを しる。
茶,おちゃの こと,ちゃ,お茶（おちゃ）を いれる。
昼,ひるの こと,ひる,昼（ひる）に ごはんを たべる。
長,ながい こと,なが,長（なが）い えんぴつを もつ。
鳥,とりの こと,とり,鳥（とり）が そらを とぶ。
朝,あさの とき,あさ,朝（あさ）に ごはんを たべる。
直,まっすぐ な こと,なお,時計（とけい）を 直（なお）す。
通,とおる こと,とお,道（みち）を 通（とお）る。
弟,おとうと,おとうと,弟（おとうと）が 走（はし）る。
店,みせ,みせ,店（みせ）で えんぴつを かう。
点,しるしや ばってんの しるし,てん,紙（かみ）に 点（てん）を つける。
電,かみなりや でんき,でん,電（でん）を つけて みる。
刀,かたなの こと,かたな,おもちゃの 刀（かたな）で あそぶ。
冬,さむい きせつ,ふゆ,冬（ふゆ）に こたつで ねむる。
当,あたる こと,あ,ボールが 当（あ）たる。
東,ひがしの ほう,ひがし,東（ひがし）から 日（ひ）が のぼる。
答,こたえる こと,こた,質問（しつもん）に 答（こた）える。
頭,あたまの こと,あたま,頭（あたま）を かく。
同,おなじ こと,おな,同（おな）じ 本（ほん）を よむ。
道,みち,みち,道（みち）を あるく。
読,ほんを よむ こと,よ,本（ほん）を 読（よ）む。
内,なかの こと,うち,家（いえ）の 内（うち）で あそぶ。
南,みなみの ほう,みなみ,南（みなみ）に かぜが ふく。
肉,からだの ちょうし,にく,肉（にく）を 食（た）べる。
馬,うまの どうぶつ,うま,馬（うま）が 走（はし）る。
売,うる こと,うる,りんごを 売（うる）る。
買,かう こと,かう,店（みせ）で りんごを 買（かう）。
麦,むぎの こと,むぎ,畑（はたけ）に 麦（むぎ）を まく。
半,はんぶんの なかば,なかば,りんごを 半（なかば）に わける。
番,ばんめ,ばんめ,一番（いちばん）を えらぶ。
父,おやの だんせい,ちち,父（ちち）と 本（ほん）を 読（よ）む。
風,そらを ふく き,かぜ,風（かぜ）が 木（き）を ゆらす。
分,きる こと,わ,りんごを 分（わ）けて みる。
聞,きく こと,き,音（おと）を 聞（き）く。
米,ごはんの もと,こめ,米（こめ）を 食（た）べる。
歩,あるく こと,ある,公園（こうえん）を 歩（ある）く。
母,ははの こと,はは,母（はは）と 歌（うた）を うたう。
方,そば や まわり,かた,道（みち）の かたを 歩（ある）く。
北,きたの ほう,きた,北（きた）から 風（かぜ）が 吹（ふ）く。
毎,いつも,まい,毎（まい）朝（あさ） かおを あらう。
妹,おなじ りょうしんの おんなのこ,いもうと,いつも 妹（いもうと）と あそぶ。
万,たくさんの かず,まん,万（まん）の お金（おかね）は おおい。
明,あかるい ひかり,あか,明（あか）い ひかりが さす。
鳴,なく こと,な,朝（あさ）に 鳥（とり）が 鳴（な）く。
毛,けの こと,け,犬（いぬ）の 毛（け）を さわる。
門,とびら の こと,かど,大（おお）きな 門（かど）を くぐる。
夜,くらい とき,よる,夜（よる）に 月（つき）が かがやく。
野,ひろい はら,の,野（の）で かけっこする。
友,ともだち,とも,友（とも）と あそぶ。
用,つかう こと,もちいる,水（みず）を よく 用（もちいる）。
曜,日曜日の もじ,よう,ひょうで 曜（よう）を みる。
来,くる こと,く,今日は 友だちが 来（く）る。
里,さとの こと,さと,山（やま）の 里（さと）に 行（い）く。
理,ことを ととのえる こと,り,算数（さんすう）の 理（り）を 学（まな）ぶ。
話,はなす こと,はな,夜（よる） 家（いえ）で 話（はな）す。
